136137,58169,29350,27552,75786,117887,1684,11779,91306,127279,130349
59678,88872,110449,3906,67707,117886,118277,87098,113272,120316,56690
32433,113810,123934,122003,97961,62594,12064,116235,101116,122354,4509
42376,142573,59451,75430,105408,145183,132774,130922,132453,42126,132778
25063,137990,128825,135986,122106,94415,142550,107030,4078,12532,136709
58169,64523,40598,148606,6778,5936,133019,72131,131983,108837,80793
126357,90639,72075,64567,127279,130922,145750,42234,87103,4510,134447
52632,116458,74376,72131,49843,134452,48443,4234,83440,12514,93363
112486,142671,86678,14572,9476,126232,122805,4078,26035,64005,38894
108020,87103,80341,149141,4234,63255,31888,49843,127279,75927,73766
120099,29720,48443,61013,125287,47032,138415,110265,133333,136134,141903
98680,64896,40842,127519,107029,6373,126316,59678,53807,14063,11919
75844,110653,48456,69210,54062,11779,136709,55241,116236,123614,127190
91158,127519,126232,30521,24217,91306,72612,123973,110267,69768,133479
9560,81083,114245,40683,120329,24367,64834,123273,43585,88486,110449
145724,116236,114245,120313,10541,67331,86761,84144,145745,152425,125776
52631,121454,36986,4077,131773,108774,73774,130950,126188,67331,116236
133333,4450,83612,49817,91306,21891,108528,11769,75380,112769,74392
9962,56472,61013,4510,126232,69210,122354,4450,125776,51157,43600
133440,55786,108020,72131,46844,50543,117967,91089,122626,62594,114534
64896,26641,94039,116458,116458,90828,123934,20432,110653,108745,72074
99419,138040,25232,63290,110267,126606,54626,145432,17631,18033,59678
108774,113031,119026,53807,70813,127187,113810,56690,6857,116407,146153
75612,40842,131422,74376,69768,73469,53807,11769,124483,55828,64005
69768,92573,129055,46241,137990,122932,110110,90828,110653,126606,115925
825,136709,64896,122673,130950,148612,116407,16879,87362,133459,122354
61670,116458,94468,9962,58215,107188,54163,57939,9887,67331,141903
123614,90987,116872,113272,146153,59678,93363,89445,131983,42234,148612
68682,75443,38895,56472,110653,32433,12064,48456,132778,113511,143307
114069,114232,55430,55828,129095,90639,54062,63655,72075,122624,18033
108474,85310,110111,89445,10458,87098,46611,99419,14063,142670,42376
130693,72781,69303,11779,91788,142550,122354,145724,71510,138415,16879
126188,124460,123614,75786,10806,145750,122936,93363,143099,148606,38819
32335,27552,125621,75428,110637,75395,116236,123273,4073,11674,29350
108745,47032,51919,897,127279,82919,36097,49843,118953,112468,87362
117287,64567,16820,131900,44804,135986,123969,108837,89179,25797,59723
6857,5936,25669,131773,112769,49817,127185,11682,129055,11769,52036
139773,74376,133459,10806,139681,70300,123973,81543,25669,38778,123977
115925,127187,132310,124460,5936,112486,127187,61670,74382,121454,53726
36986,127187,116871,63655,75786,112486,33064,69198,98680,136094,128886
50754,91619,36983,118953,37131,125776,83612,152425,44795,10458,127185
138040,129095,14541,67359,75389,95309,117287,25232,83612,120316,140621
29350,62458,138040,36983,116491,145724,110110,142573,67707,138217,130929
111396,9962,129372,88872,133459,825,100480,36615,43533,29350,110111
74002,126188,123614,98680,122106,116871,25063,116491,152569,60038,145750
122932,52451,28274,138415,72131,126227,72131,15464,20432,75389,46844
67707,149075,43533,50754,149141,4784,128886,91619,108774,134447,122003
91089,126606,113810,149626,76036,4078,75443,129055,147086,131900,3920
75428,36097,116235,135986,58169,72612,6373,131983,80341,12532,81083
16879,25797,107596,32433,42234,110110,72074,115773,114272,76036,89179
110102,61884,112769,29745,56472,48443,58169,142564,59723,66649,149141
57823,88486,118277,98025,80793,6857,43767,81792,149143,122365,114389
59723,59721,145750,117287,74376,61679,116872,110449,29720,120313,75428
126455,125621,4066,17631,63655,87098,122626,91471,131773,123273,60038
113031,89445,91306,37131,121658,75927,113016,43767,152425,91306,62594
133432,42234,131385,68682,4450,126227,9887,17634,85950,87103,75428
72047,148537,122932,108474,14063,110688,52036,31888,87103,126232,107596
108840,142671,54034,114232,64567,46241,90027,72612,99419,141561,14541
97961,126455,114212,127187,75395,113810,116458,48443,126225,108474,38847
123273,120329,110688,66187,68682,64834,107188,125154,108837,29745,59657
38847,24217,132778,107596,4846,89445,148537,14541,31041,55808,130693
118498,49843,42234,73170,85963,130693,131900,114232,123614,1276,10382
139681,122365,142573,39278,128825,57939,43767,81945,81543,112065,142550
121454,122190,95309,64834,42234,46844,108745,75430,125621,121658,133459
81638,139536,114245,142564,145183,22480,25669,130922,55241,72562,106571
66076,82919,4066,57823,91471,133432,136709,120099,113303,86678,124483
132790,82919,114272,115773,141561,3832,121454,118953,48443,1684,90027
12514,88486,51919,15464,24367,48456,136137,4510,110265,142670,130963
