69201,77572,24901,117613,7710,122579,118920,103523,71216,73819,142097
35198,89704,111974,120778,137213,117945,51261,89860,43590,108014,146070
101951,50444,7383,118276,3905,63733,142949,126214,136094,142360,24368
141894,72072,88864,73573,30682,64536,24423,110654,121591,71715,122935
11770,104278,46855,56799,148605,94101,119901,33446,142081,116756,111226
41812,98618,77572,142097,71158,131656,71249,36966,51919,55102,71158
89484,11306,36987,113511,89704,73819,69194,620,12060,46854,98031
190,29816,41812,4077,78998,29746,114063,118276,15469,122809,126747
31390,98655,54235,19758,146478,129055,21167,30740,144172,115272,4076
109548,130989,4239,114199,67766,120466,85308,86038,10375,114236,113558
72074,9678,126743,144472,72200,79975,29245,47071,55102,55715,51919
123986,130709,122088,93918,120466,11765,33070,12060,77572,122934,131453
145431,32333,124180,24368,38522,60756,72200,54719,78998,59687,114072
62452,54703,6783,620,24901,141285,55715,81033,98555,62337,11770
144173,72200,127209,38819,154305,53301,7381,135369,118891,120299,109445
144472,44849,17344,98031,11933,88872,106563,130948,123868,26017,108498
40133,71715,129695,85420,17611,145043,117172,73819,74373,98031,116239
49478,69208,44800,129884,118507,133562,145464,42373,21997,135220,56799
11937,3909,130370,56799,54235,149750,50444,111229,129972,125195,100480
62750,40844,147020,129404,109497,145431,4076,51479,15770,55232,122397
108020,111229,131934,33446,121323,144171,122935,120778,3778,55100,111229
7710,39259,110171,100480,30740,116883,154309,15469,43768,146639,73819
114406,110654,29245,92873,114236,129404,106563,71216,7383,118891,144173
54163,129088,154309,98618,75396,107425,96728,1197,21997,17632,148605
62337,37592,129404,120778,141297,43590,91081,60756,51261,126747,55232
120194,72074,31390,127349,71622,104278,142535,126646,42044,122088,55102
3905,126789,45154,122934,88864,118276,118507,91081,88872,127206,56029
98618,41812,8345,107592,19413,143219,82930,143995,134824,38834,126743
26017,121323,7710,81938,620,144465,127663,72200,127203,145431,93950
126214,51479,59687,50276,114232,42373,42373,98667,127541,59078,54626
127350,91159,67766,71249,51479,46855,124177,107425,59446,141297,127203
122397,51919,91186,144171,66638,11671,194,126189,62337,154305,110451
94415,11933,69208,194,107809,15469,75396,72787,148605,88878,54476
29044,121323,116175,75371,111226,85308,59673,51776,129055,27548,118891
74375,3921,91098,24901,62187,144171,125291,11262,127206,19413,73573
130948,88878,143219,144171,69201,43590,144172,49407,19758,142949,146725
104009,28483,127206,37592,146070,81033,116175,75380,64789,31390,63064
75395,117945,75380,138022,33446,107425,142535,38966,7381,14737,123868
36987,1197,13378,55715,52954,110654,86259,125291,71884,107592,30682
12060,109543,108307,148605,98577,24901,127180,54480,16340,85592,109497
122626,146639,98555,113453,127206,75371,90278,113453,128760,3778,62592
52035,69198,11770,51919,91170,1197,130709,74375,40133,30740,114198
59446,89704,92885,46855,127663,28376,38557,55232,141297,148028,116175
107578,129695,81565,55102,66636,110171,4838,4450,89484,124180,146148
131934,28376,129972,127066,146070,117172,52649,98618,72605,30740,6783
14569,120324,118276,148028,104278,12049,4077,27609,40844,11765,44800
145711,98667,54719,39259,126233,27456,24901,120328,110451,7383,130929
14570,12049,38834,138319,86038,81792,121591,104725,110654,142553,45154
91159,140926,109548,6393,120328,43768,113511,72200,3778,137605,127066
143095,11933,62452,103808,75380,148606,64789,43590,142553,122935,110654
85420,111974,37592,110451,25029,38966,132567,98618,127349,43590,50272
72072,141894,71715,127663,121866,88864,131979,132455,21167,146639,134962
129972,9152,32333,36987,131979,140926,6393,71715,134824,93918,146148
83612,86259,136466,33446,108014,9678,122397,120194,71884,42236,32333
124231,142949,114236,129882,108498,40541,77572,73169,147020,53157,138022
107592,97283,129882,60756,140791,124231,122935,27456,146725,130929,71884
51479,144472,140926,133452,146070,55718,64789,20375,42240,55232,55809
117172,8345,81938,142535,91186,69208,11937,59446,27609,190,56799
73169,118507,25804,120466,69208,110982,127203,75401,123986,85592,10697
140791,26017,50272,55809,22296,109497,148124,98582,63733,110451,122626
89860,75396,41812,127209,145431,146639,116756,120466,82464,55572,127541
115699,98555,144172,138319,128476,55826,82464,126214,144172,42648,9678
136466,55232,89484,142949,17611,120324,42373,36987,85308,127203,114282
85492,72058,108865,107809,124180,114232,122579,145431,120109,48307,27548
120778,108014,125291,117629,122397,117945,98346,130709,74373,53157,7378
43768,82464,11671,104278,133029,129972,124391,51479,29816,7383,20375
10673,126189,97283,15469,137605,6783,129051,25029,98346,54163,121866
117945,75395,25029,28477,142081,85420,24898,130370,61007,111229,144472
13378,25804,92885,114282,88872,147268,129055,56799,29816,51776,137605
