134385,140135,114416,125183,92881,148213,107613,4096,6367,120518,128828,121318,28479,100799,27802,126318,122085,29673,76121,109977,62163,53578,19425,113024,45516,49030,139491,134951,73551,36143,55832,150064,46058
1082,82918,133445,62163,51273,98297,71714,141296,139771,48488,107256,58174,144940,19425,107589,149712,137631,58174,108319,72477,64521,36333,91177,133456,127294,22472,67766,55809,12065,85307,73776,150064,89992
145020,28479,25795,33072,119901,59656,15210,126550,111872,88863,98077,109684,126406,119901,14586,44809,58174,82918,123485,125815,36388,75396,98077,129696,15210,60534,148120,137214,137627,62163,36333,113024,140935
74387,120314,100799,148605,72477,106629,120303,137627,111371,95914,127279,131978,111371,148120,125809,146482,68820,32081,125815,87642,96169,126412,15210,62748,75932,92546,100480,55832,133456,127300,27802,116733,135044
134449,10439,91933,112734,126550,56031,135226,6390,3765,148213,69726,81613,55832,69723,150287,126283,133781,120314,116733,6679,130955,146681,107613,108059,62532,146482,131917,4096,26302,108878,52644,1278,113032
68820,38833,119938,95914,126505,136322,108878,101119,113276,142360,134510,110652,126430,126887,3273,67707,11918,110928,1883,122474,10481,81782,133535,110776,28179,96169,104780,132961,110928,6679,109977,30196,38896
45516,10377,116236,126505,81457,89841,134510,127868,91164,107256,109497,31165,91182,133456,134385,72930,118670,109497,117630,148443,148120,43518,25795,55832,91182,55233,64521,96400,91177,29744,1082,43861,55287
109497,85791,31042,85838,109684,6396,148215,28479,143295,109977,54063,71174,55287,109977,38886,122498,142093,132788,85838,62337,10377,6396,79606,87431,19425,109072,91319,87968,51661,126216,71174,139491,72477
62163,23037,122085,38886,117883,138413,110103,134951,139771,43595,15210,13804,4782,31165,96400,64865,109670,49408,82157,127294,26022,38833,126283,138351,11268,91624,36143,55809,91624,84054,127188,132961,55101
98297,31041,134930,131952,95915,54063,14653,53863,109106,53578,110103,110923,72129,53578,111150,139491,127188,4068,67707,55287,110652,38896,54463,55287,93919,89859,147191,11268,79606,55233,1883,127265,107101
109072,51923,6679,44799,126406,41573,57569,117945,119369,74937,122474,88861,120332,137631,93716,15210,110103,142093,54063,135044,43519,62192,148124,138413,133535,111150,24515,49408,38886,126403,131323,82918,122363
133445,40230,52630,36560,26674,66537,95915,121659,36799,123485,19425,81782,98077,116068,72129,116236,112734,91181,126412,56692,43861,127300,71174,134510,11777,64992,73776,81457,10377,30702,110928,152261,91933
131939,43911,120314,117173,70402,107256,109670,111150,71714,109448,137423,131978,47659,92546,42374,116236,145041,134510,3273,625,125778,142360,143097,52630,44809,150266,11268,110652,110103,51273,133445,129620,107101
36388,47896,109497,92953,30702,62532,1883,95914,32021,125001,114067,70207,90582,131952,137463,146681,36145,38896,121318,98077,116733,56692,113032,95914,117883,10485,136707,130369,127300,65234,55233,29673,131978
54554,133273,108488,13804,136276,26022,81613,126408,107799,109448,130368,85307,140935,84156,120332,92953,92881,146970,70402,126415,91624,36799,77517,10387,129696,92953,84156,132794,144940,134510,92954,129046,36333
51273,22472,136322,47896,134941,126318,150287,1039,135368,134449,110776,109972,43911,73551,144940,144733,25795,46058,72129,117991,67707,44822,126283,116882,51661,93716,143097,87160,17906,141878,111872,107589,6396
113276,149712,110923,96731,30196,62337,129190,146483,98680,42020,56517,105451,138351,119938,126412,10675,71174,111793,13804,14586,126318,122363,48488,69825,129098,14653,67237,109977,134941,6390,134385,148121,129098
125723,125779,117991,126412,92562,43518,82932,41573,63287,108031,64866,63999,69726,97286,51661,95914,66643,96400,4017,129375,92950,6679,122364,62532,15210,119369,64919,55287,69723,46732,85307,52128,134449
87160,89859,110652,10674,87642,107256,127279,109448,24430,1427,108878,143060,63287,68820,72930,118734,64007,130369,65234,64866,114292,131952,125183,148120,51273,17782,73776,117630,31042,117883,36333,114409,52644
138064,114067,112767,74937,118478,55183,149099,53228,62337,67766,24515,122363,56688,56517,24430,114292,122364,88858,116068,57569,91177,3895,118670,56692,24720,70813,10675,52630,54463,51273,46732,149099,62337
140135,89859,109977,117609,57272,119369,149099,110928,91182,122085,133456,119938,31041,133535,131978,134930,106629,146482,125778,43595,111793,108494,75396,133445,120314,107589,91182,139491,69726,142950,88858,87642,141139
112314,84156,84111,69210,24515,64035,31042,92546,91179,72930,109684,111371,56031,129997,32021,69210,126505,10439,142093,119592,10674,133028,75396,11679,92546,129375,108494,84054,126406,122498,31165,150287,146681
150266,70303,119893,140871,112734,120317,108774,42374,54063,119583,38896,108774,114067,107613,126406,127265,3950,29744,56692,108036,11918,52630,81782,75935,45515,1736,107799,109684,43519,109497,107101,129098,32693
112734,64919,24217,108319,1883,122498,33072,145041,137627,127469,112767,41573,112770,36799,91933,122085,134510,131917,51292,64035,17782,149712,56031,7489,149712,75435,109684,67237,81436,129696,56692,126407,52630
47663,113276,135368,98297,92950,127868,91177,63045,126216,146482,60777,138351,38833,24720,91181,111793,28479,40230,125001,89859,77517,104063,38886,64992,116882,62532,45521,48489,55183,45516,124176,95914,75396
22472,51273,11918,54554,137631,1039,66537,36143,49408,116882,129046,108059,127188,98297,110923,133781,10675,85791,11268,140135,212,10387,110103,625,109977,76121,130369,96731,137463,31165,65234,127294,51292
108878,126887,89992,82918,122635,127868,55183,84152,138351,52409,91177,130369,129973,124753,124176,81613,11918,13561,67707,79087,31041,1682,58174,126505,31165,135226,14586,31041,125183,31165,17782,43595,62192
124176,139534,28479,133781,69825,53589,127300,109497,107589,32021,88863,69210,53578,91164,116733,92562,46732,68837,107613,110923,10377,4782,126407,150267,32755,73776,52128,91933,137152,116068,1039,117630,62192
63999,21657,19425,120314,97286,42031,129046,148124,143295,98680,11777,36799,87431,53228,135044,49408,87431,4017,17906,123504,73776,127279,131939,92562,71714,113024,32021,92538,10675,64007,125723,131952,137463
131952,98236,138064,22472,55809,130369,126403,24515,8259,95915,52409,125809,117883,138062,10439,6396,129997,56692,139534,129046,133781,6396,100480,36145,96400,88858,54554,141296,84111,12059,24515,126408,114937
129190,140871,43861,146970,1883,125723,51269,625,126550,148120,100799,96169,148443,146970,70207,129696,107613,133273,44822,64866,91624,64408,10444,98077,138413,110923,12059,148213,126318,62337,87431,63045,122635
131978,63045,21774,92953,137463,137214,145041,85791,113032,112770,67237,131385,126283,117884,87431,129973,45475,38896,47896,64408,45521,17782,65076,126283,55832,29673,140135,98297,148605,92954,150267,127279,84111
55809,66537,126505,147191,146970,11268,45515,121318,10481,51273,98077,3273,38886,92546,55233,74937,139771,6367,79606,17782,29673,138413,123504,131385,98236,11777,147191,43518,111150,3765,3273,126318,87968
62337,129973,148215,96400,64408,136322,65076,122363,15210,137423,118670,134941,140935,84156,44809,68820,91933,60042,62748,146970,52644,73776,126407,138062,55233,49030,88861,107799,65234,114292,119938,44809,70174
140564,105451,64035,3950,74387,123504,129620,76381,32755,10674,69210,91179,72930,127188,51785,137423,1427,3895,144733,98236,127294,120317,6679,122498,135226,144940,62192,53589,129620,127188,134941,126505,98297
141139,89992,120518,125723,43595,51292,48488,10481,70813,125723,65076,88858,148605,75435,108494,101119,131323,106629,129973,108036,75435,43868,109977,46732,27548,113276,43868,119938,69726,109684,55233,126216,111371
132141,114409,51273,116236,127495,92546,6390,32325,117991,55233,75435,126408,36388,120518,75932,104063,6396,135368,24217,134449,96169,65234,91164,45516,107616,119893,33538,120518,129375,125812,119938,148585,125723
94467,91177,98297,126407,104780,143097,55233,130368,65076,148121,56031,85834,64919,36143,137152,121659,130955,48489,124753,10377,43519,43861,68820,107256,52630,109106,92954,91164,112770,109972,68820,29673,52630
141878,38833,131952,89859,136276,72129,56688,67766,119901,54063,69825,14586,131917,72129,4782,131978,147086,84156,126887,112767,134385,109977,126415,122635,146482,33072,119583,107129,105712,131978,109977,66483,58174
91185,38886,148443,43868,138351,126406,55832,91624,33072,91092,93716,62337,67237,90582,125001,126055,65234,124176,141878,145020,87431,108878,133432,93919,88869,55287,140935,149712,52409,81613,3950,138413,129190
