105674,73365,6607,42030,55826,17611,32335,108531,133573,6607,86482,42129,46718,47707,62193,256,11778,134510,139117,36261,129925,1891,1666,82930,148608,126666,132775,120771,11204,27804,62448,144476,10671
29042,36261,54621,117172,98251,40844,113276,134797,60476,46159,142360,69763,98628,115273,28481,91459,51268,10440,135043,33461,122685,81189,92949,9513,133294,133438,139123,1666,121657,59374,116490,134943,126608
70879,114942,91755,85308,134940,110690,117288,127660,48861,129051,52628,21997,42761,133573,98617,99437,76363,114396,22295,146727,35527,67558,143058,116880,65040,134797,60857,14386,138061,117172,114884,74945,116466
47471,111872,114939,142358,125196,73765,43590,134940,110108,85838,52950,62190,85968,85968,138061,133972,22097,104779,145553,44805,3264,122901,113035,3265,135010,27613,115923,60857,39658,149185,145741,113034,9511
89441,122932,121987,72790,82930,98557,105683,10677,132775,71244,96399,106457,126886,148608,44778,139123,1891,145553,121312,143058,10441,9511,98553,116490,73172,115925,32075,1683,72134,65040,122001,21997,11200
122685,68683,90582,3264,149185,122631,130989,122190,120771,122395,65073,127660,93521,111221,62190,94036,46160,24367,117288,69746,18043,51278,129919,126608,112066,9511,65040,137716,129925,55481,114884,10677,28260
113035,123974,116876,117966,72287,115923,108961,123484,130963,47707,126781,137740,114936,128927,98617,71225,138061,42016,86081,116872,62190,39357,122088,82916,126666,118478,126214,55826,3265,11788,127296,143290,24217
98668,81189,145553,130368,86081,118505,42030,38818,126400,26020,142360,133457,130709,117288,119719,42236,19423,122932,133573,23353,108961,48452,11200,140926,137426,40657,98299,46718,89473,36643,105670,115271,18043
33461,60331,125823,130371,104779,129919,73365,114942,81945,43865,121594,115852,116490,135092,145549,46160,120466,22097,3265,137740,51268,105722,48439,73761,98299,57661,99437,1683,46717,14386,86039,62448,37727
109904,118986,69763,67558,86039,122457,135092,106568,121739,121312,40657,59677,115271,53381,29042,148216,129919,114044,65683,115273,129088,117966,129088,105674,130709,39658,1666,120466,122457,40844,85838,39357,1666
110985,64567,149185,121739,129919,95726,52950,28483,48861,80687,105917,22295,95726,127867,98553,118063,111872,127663,80753,7374,97988,42129,120771,92949,43590,68852,68683,137716,86039,129088,135092,122395,115271
94036,128885,139123,114939,134797,17608,71230,87193,91088,42475,48861,104779,114396,82916,114396,130989,121594,123968,6607,97988,93942,129919,106568,129925,23013,59374,117942,95726,105917,43865,27866,80753,11803
117942,42030,46159,127296,57939,122001,39530,118986,1666,27797,121664,139123,142360,53381,73365,256,68860,124201,98299,140791,133972,71508,99390,80753,55826,36322,1666,48452,66641,86415,28260,122901,129097
